t,connectedPlugins,allowedPlugins,uptimeMs,framerate,MouthOpen,FaceAngleX,FaceAngleY,EyeOpenLeft,EyeLeftX,error
59.4210,2,1,7639160,59,0.276732,-1.82918,-1.27808,0.85982,0.0470951,
59.7180,2,1,7640311,59,0.153264,-3.96513,3.49857,0.938271,0.0161611,
60.0150,2,1,7640311,59,0.0168998,-5.17083,6.53743,0.931795,0.000451732,
60.2960,2,1,7640311,59,0.00690692,-5.00217,6.4674,0.904715,-0.00724339,
60.5780,2,1,7640311,59,0.00224828,-4.10013,6.98726,0.921489,-0.0602969,
60.8590,2,1,7641461,58,0.0036649,-4.22956,7.0352,0.915304,-0.0893114,
61.1560,2,1,7641461,58,0.00426174,-3.83193,6.05749,0.907628,-0.122091,
61.4530,2,1,7641461,58,0.00577327,-3.84378,4.86689,0.877043,-0.130807,
61.7340,2,1,7641461,58,0.0207182,-3.88678,4.12822,0.849739,-0.149247,
62.0150,2,1,7642612,58,0.0366956,-3.52958,4.11739,0.820898,-0.0892009,
62.3120,2,1,7642612,58,0.0264647,-3.57363,4.89993,0.850359,-0.0647746,
62.5930,2,1,7642612,58,0.0168228,-3.8403,3.84591,0.856251,-0.0444466,
62.8750,2,1,7642612,58,0.0206037,-3.33587,3.48714,0.806422,0.0275799,
63.1560,2,1,7643762,58,0.0252234,-2.92104,2.77252,0.176495,0.0356128,
63.4680,2,1,7643762,58,0.0227337,-2.92131,3.10143,0.661541,0.0927998,
63.7500,2,1,7643762,58,0.00637741,-3.07794,4.64146,0.772549,0.0747914,
64.0310,2,1,7643762,58,0.0105291,-1.48943,3.83761,0.718984,0.0734008,
64.3120,2,1,7644912,58,0.183886,0.809988,5.7764,0.645259,0.066102,
64.6090,2,1,7644912,58,0.091709,0.622257,4.09876,0.679475,0.037531,
64.8900,2,1,7644912,58,0.0112756,0.836437,6.70474,0.736775,0.00249487,
65.1870,2,1,7644912,58,0.00284537,1.23966,8.83828,0,0.0045958,
65.4680,2,1,7646062,58,0.00171035,-0.0432064,9.78552,0.0790279,0.00849184,
65.7650,2,1,7646062,58,0.0022822,-2.21043,11.3147,0.632223,0.0493385,
66.0460,2,1,7646062,58,0.0144731,-3.00027,10.0409,0.731019,0.0688139,
66.3280,2,1,7646062,58,0.0278301,-4.16659,9.59278,0.733493,0.0637476,
66.6090,2,1,7647214,58,0.029846,-6.22161,8.67483,0.804956,0.0510295,
66.9060,2,1,7647214,58,0.0344671,-6.62998,8.65675,0.840217,0.0227166,
67.2030,2,1,7647214,58,0.0355576,-6.49776,7.86165,0.833188,-0.0190372,
67.4840,2,1,7647214,58,0.0401344,-5.57577,6.37995,0.836902,-0.093369,
67.7650,2,1,7648363,58,0.0306188,-3.84832,5.51839,0.835069,-0.103984,
68.0620,2,1,7648363,58,0.0292006,-1.18038,6.02954,0.199407,-0.0698279,
68.3430,2,1,7648363,58,0.0367744,5.08383,6.62801,0.571527,-0.0424504,
68.6250,2,1,7648363,58,0.0446491,6.22713,5.32381,0.848421,-0.0266977,
68.9060,2,1,7649513,58,0.0490695,8.09324,3.4175,0.853748,-0.0142085,
69.2180,2,1,7649513,58,0.0339565,13.0349,3.55255,0.857308,0.0246552,
69.5000,2,1,7649513,58,0.0301568,13.358,2.15985,0.852127,0.0445243,
69.7650,2,1,7649513,58,0.0373097,7.9542,-2.11722,0.85145,-0.0595468,
70.0460,2,1,7650644,58,0.0389604,4.73241,-4.02747,0.811085,-0.0583665,
70.3430,2,1,7650644,58,0.0358525,2.37881,-5.30202,0.790171,-0.0635636,
70.6250,2,1,7650644,58,0.0417607,1.77675,-5.99079,0.791653,-0.0517388,
70.9060,2,1,7650644,58,0.0392128,1.31765,-5.82777,0.813696,-0.0500371,
71.2030,2,1,7651794,59,0.036481,1.13478,-5.51335,0.802547,-0.037979,
71.5000,2,1,7651794,59,0.0351114,1.10867,-5.51806,0.798716,-0.0296998,
71.7810,2,1,7651794,59,0.0378724,0.640615,-5.41019,0.558567,-0.0169281,
72.0620,2,1,7651794,59,0.0303527,0.419411,-5.36077,0.755233,-0.0157767,
72.3430,2,1,7652944,58,0.0296293,0.225856,-5.71843,0.729307,0.00619255,
72.6400,2,1,7652944,58,0.0281134,0.0113123,-5.63523,0.718372,0.00311116,
72.9210,2,1,7652944,58,0.0261757,-0.36242,-5.80667,0.731745,-0.00264178,
73.2180,2,1,7652944,58,0.0290744,-0.372532,-5.86407,0.812459,0.0722714,
73.5000,2,1,7654095,58,0.0228885,-0.379757,-6.00508,0.826429,0.0767259,
73.7960,2,1,7654095,58,0.0240849,-0.560758,-5.73924,0.852638,0.0816829,
74.0780,2,1,7654095,58,0.0261938,-0.628772,-5.58666,0.320019,0.0445526,
74.3590,2,1,7654095,58,0.0241392,-1.02364,-5.54475,0.689984,-0.00440185,
74.6400,2,1,7655245,58,0.0275635,-1.38071,-5.94381,0.72995,0.00467572,
74.9530,2,1,7655245,58,0.03357,-1.55767,-6.27643,0.746947,-0.00426986,
75.2340,2,1,7655245,58,0.0306549,-1.60262,-6.03607,0.740078,-0.0141044,
